lr-Adam/geometry,lr-Adam/variance,lr-Adam/albedo,lr-Adam/ambient,lr-Adam/blur,step,train/loss_rgb_mse_cam,train/loss_rgb_mse_proj,train/loss_rgb_l1_cam,train/loss_rgb_l1_proj,train/loss_eikonal,train/loss_mask,train/loss_sparsity,train/inv_s,train_params/lambda_rgb_mse,train_params/lambda_rgb_l1,train_params/lambda_mask,train_params/lambda_eikonal,train_params/lambda_sparsity,train/num_rays,epoch,val/psnr,test/psnr
0.0005699369698776853,0.0005699369698776853,0.005699369698776868,0.005699369698776868,0.005699369698776868,1899,,,,,,,,,,,,,,,,,
,,,,,1899,6.149570981506258e-05,3.116601874353364e-05,0.0022891161497682333,0.0017426160629838705,0.028227083384990692,0.004237798973917961,0.8749309778213501,300.22625732421875,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,2937.0,0,,
0.0005630716623571414,0.0005630716623571414,0.005630716623571426,0.005630716623571426,0.005630716623571426,1949,,,,,,,,,,,,,,,,,
,,,,,1949,4.8621797759551555e-05,3.297826333437115e-05,0.0021265982650220394,0.0017623117892071605,0.027673054486513138,0.010072183795273304,0.890555202960968,312.41912841796875,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,3233.0,0,,
0.0005562890524853594,0.0005562890524853594,0.005562890524853607,0.005562890524853607,0.005562890524853607,1999,,,,,,,,,,,,,,,,,
,,,,,1999,5.0470505811972544e-05,2.6805384550243616e-05,0.0022570164874196053,0.0015133445849642158,0.026425834745168686,0.003293460002169013,0.8984273672103882,326.0168762207031,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,3566.0,0,,
,,,,,1999,,,,,,,,,,,,,,,0,10.547980308532715,
0.0005495881441086952,0.0005495881441086952,0.005495881441086958,0.005495881441086958,0.005495881441086958,2049,,,,,,,,,,,,,,,,,
,,,,,2049,5.032923218095675e-05,2.8417969588190317e-05,0.002276303246617317,0.0016155887860804796,0.02675885520875454,0.004349189344793558,0.9178377985954285,341.749755859375,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,3992.0,0,,
0.0005429679530729016,0.0005429679530729016,0.005429679530729027,0.005429679530729027,0.005429679530729027,2099,,,,,,,,,,,,,,,,,
,,,,,2099,5.0441158236935735e-05,2.4171487893909216e-05,0.002319637918844819,0.0014500352554023266,0.02628370188176632,0.004487691912800074,0.9318928122520447,354.5191345214844,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,4371.0,0,,
0.0005364275070785912,0.0005364275070785912,0.005364275070785925,0.005364275070785925,0.005364275070785925,2149,,,,,,,,,,,,,,,,,
,,,,,2149,4.1872375732054934e-05,2.6272058676113375e-05,0.0019133880268782377,0.0015250184806063771,0.02442190982401371,0.005373593885451555,0.9385408163070679,374.4147033691406,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,4763.0,0,,
0.0005299658455384323,0.0005299658455384323,0.005299658455384336,0.005299658455384336,0.005299658455384336,2199,,,,,,,,,,,,,,,,,
,,,,,2199,4.5610915549332276e-05,2.7701980798156e-05,0.0020184358581900597,0.0014724601060152054,0.02340177819132805,0.00928474310785532,0.9473469853401184,392.0516662597656,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,5073.0,0,,
0.00052358201943607,0.00052358201943607,0.00523582019436071,0.00523582019436071,0.00523582019436071,2249,,,,,,,,,,,,,,,,,
,,,,,2249,4.164150595897809e-05,2.096451135003008e-05,0.0019253670470789075,0.0013205275172367692,0.022782819345593452,0.0026537098456174135,0.9511318206787109,398.646240234375,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,5418.0,0,,
0.0005172750911867452,0.0005172750911867452,0.005172750911867462,0.005172750911867462,0.005172750911867462,2299,,,,,,,,,,,,,,,,,
,,,,,2299,4.537498898571357e-05,2.6619372874847613e-05,0.001999578671529889,0.0013949439162388444,0.021311208605766296,0.004945758730173111,0.9543666243553162,419.9891357421875,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,5547.0,0,,
0.0005110441344995931,0.0005110441344995931,0.005110441344995941,0.005110441344995941,0.005110441344995941,2349,,,,,,,,,,,,,,,,,
,,,,,2349,4.6307904995046556e-05,2.4385120923398063e-05,0.002007054165005684,0.0013504603412002325,0.020525414496660233,0.005066036246716976,0.9563374519348145,439.3788146972656,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,5834.0,0,,
0.0005048882342415995,0.0005048882342415995,0.005048882342416009,0.005048882342416009,0.005048882342416009,2399,,,,,,,,,,,,,,,,,
,,,,,2399,3.861920413328335e-05,2.1254010789562017e-05,0.0019153931643813848,0.001331266132183373,0.02026969939470291,0.0021985871717333794,0.9593510627746582,458.5174560546875,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,6132.0,0,,
0.000498806486303197,0.000498806486303197,0.004988064863031978,0.004988064863031978,0.004988064863031978,2449,,,,,,,,,,,,,,,,,
,,,,,2449,3.831530557363294e-05,2.0683011825894937e-05,0.0017783987568691373,0.001305548008531332,0.019766105338931084,0.0029426775872707367,0.9613768458366394,466.1666564941406,10.0,1.0,0.10000000149011612,0.10000000149011612,0.009999999776482582,6402.0,0,,
0.0004927979974654782,0.0004927979974654782,0.0049279799746547856,0.0049279799746547856,0.0049279799746547856,2499,,,,,,,,,,,,,,,,,
